STATE/UT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
TRIPURA,2004,189,36,0,160,99,27,2,46,166,260,148,17,34,12,24,452,20,134,0,302,0,85,868,3081
UTTAR PRADESH,2004,6126,5580,1436,1397,3337,378,98,2606,5299,22524,3915,2377,4184,188,381,11265,1708,1900,2682,4950,3,7136,40711,130181
UTTARAKHAND,2004,262,247,29,115,213,37,1,165,566,1597,444,157,372,13,28,865,82,143,110,405,0,464,2319,8634
WEST BENGAL,2004,1425,390,468,1475,1200,212,943,535,547,14465,2691,425,1686,125,103,3867,396,1566,64,6334,12,2995,27426,69350
A & N ISLANDS,2004,15,1,2,10,3,0,0,3,69,103,9,0,12,0,9,105,0,6,3,5,0,6,387,748
CHANDIGARH,2004,22,19,10,19,54,0,2,6,186,1459,43,23,135,4,0,65,6,20,18,73,0,5,720,2889
D & N HAVELI,2004,11,4,0,7,12,3,0,2,20,53,17,12,22,0,2,35,0,5,0,3,0,8,193,409
DAMAN & DIU,2004,3,1,0,1,2,0,0,1,35,27,19,4,5,0,2,17,0,1,0,4,0,25,51,198
LAKSHADWEEP,2004,0,0,0,0,0,0,0,0,2,5,37,0,0,1,0,6,0,0,0,1,0,0,18,70
PUDUCHERRY,2004,25,18,14,4,10,0,0,1,86,634,147,7,35,2,9,974,6,50,30,2,0,176,2390,4620
ANDHRA PRADESH,2005,2750,1724,111,935,1612,250,4,794,7954,23778,2026,948,7909,257,967,42179,443,3595,2508,8696,3,9973,37707,157123
ARUNACHAL PRADESH,2005,81,37,5,35,58,23,0,77,263,531,23,36,28,4,13,383,0,67,0,9,0,69,562,2304
ASSAM,2005,1194,503,117,1238,1751,334,22,451,2255,6369,2760,487,873,103,423,5906,99,899,19,2206,3,2695,11299,42006
BIHAR,2005,3471,3307,259,1147,2693,1212,165,2374,3117,10812,7671,1181,1829,50,760,11939,1014,451,13,1574,74,2680,40057,97850
CHHATTISGARH,2005,1013,660,41,990,246,204,25,401,3621,5600,893,110,431,73,214,3734,100,1450,132,732,0,2004,20959,43633
GOA,2005,45,15,5,20,17,2,0,28,265,495,45,50,58,6,12,155,2,30,8,11,0,209,641,2119
GUJARAT,2005,1033,452,27,324,1164,282,15,966,5332,17964,1628,1370,1541,447,320,10503,48,802,104,4090,0,4120,60882,113414
HARYANA,2005,784,513,57,461,492,88,138,390,3437,8694,899,562,1204,31,119,4569,212,380,597,2075,0,1083,15879,42664
