MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,
1.654216517,0.983511497,2,1.48436672,0.673429511,0,0,0.129268804,0.91892171,0.287713355,0.069085463,0.028489005,0.310264289,0,0.052676031,0.495572598,0,0,1,0,0,0.19323381,0.869060166,Moderate
0.27244904,0.565207029,0.015570221,0.225113115,0.306469352,0.035502315,0.011335617,0.083052165,0.176865585,0.14012738,0.344665718,0.030530399,0.146422707,0.250827837,0.201673843,1.326369637,0.298213121,0.249857242,0.207329779,0.064963752,0.135416869,0.676955934,1.557097876,Safe
3.502995146,0.354320782,0,3,1.654602603,0.322874378,0,0.430311434,0.356763975,0.101246637,0.506077808,0.005539833,0.064314252,0.799750089,0.374721669,1.03660987,1.38061954,0.451722635,0,1,0,0.135649011,0.475919343,Dangerous
1.648980633,1.774869177,0.844627048,0.905549613,1.211370882,0.176720647,0.062390238,0.41082064,0.225456096,0.249943961,0.423377938,0.501941506,0.319039589,0.308105081,0.136929723,0.663512199,3,0.351482927,0.45845587,0.510182283,0,0.490525999,0.587371092,Moderate
1.496887345,1.371952188,0.597122684,0.755146057,1.129639841,0.137875903,0.108681088,0.452640969,0.330656781,0.310593123,0.559885916,0.555570236,0.4174107,0.184986994,0.106154286,0.685660784,1.676564309,0.2783295,0.329988852,0.460064576,0,0.669532531,0.307549043,Moderate
0.925728512,0.289531814,1.197212611,0.948769362,0.708291682,0.154811825,2,0.205106586,0,0.450363063,0.516414642,0.185590381,0.209307702,0.618580966,0.030923874,0.341729714,1.040382985,0.338053602,0.024727283,0.77346783,0.072965905,0.454123061,1.077802144,Moderate
0.661269585,0,0,0.375603433,0.151470467,0,0,0.116302632,0.505442803,0.117122054,0.20271883,0.388944692,0.128835487,1.134802432,0.192479203,1.292150314,0,0.629918952,0.048198003,0.168773349,0,0,1.539369191,Safe
0,0.116862233,0.224063249,0.436527039,0.8215166,0.051197388,0,0.123903216,0.560767467,1,0.274998643,0.17889267,0.483512339,0.219811598,0.024167028,0.092435138,0.213448374,0.154124848,0.140039531,0.130765809,0,0.021648298,0.268611417,Safe
0.179131144,0.226846288,0,1.412268908,0.569528958,0,0,0.109324474,0.504762608,0.191978535,0.117109031,1,0.363316073,1.066714286,0.074774436,0.527500817,0,0.436301758,0,0.141019509,0,0,1.722550387,Safe
1.072133193,0.830504193,0,0,1.042547778,0,0,0,0.967847343,0.289465823,0.988863236,0.548296845,0.39903962,1.562133891,0.428966637,0.567201636,0,0,0,0.206513925,0,0,0.477014711,Safe
1.007005936,0,0,0,0,0,0,0,0.116692457,0.566939912,0.285169467,0.739234169,0,0,2,0.53127508,0,0,0,0,0,0,1.432474798,Safe
0.074564497,0.312276109,0.031184155,0.182261843,0.049000771,0.008550517,0,0.018811979,0.113941915,0.195049674,0.252319781,0,0.059912619,0.275331858,0.248791919,1.107991278,0.059413645,0.187691268,0.210493047,0.00909971,0,0.500144146,2,Safe
0.700766839,0.553005586,0.250904069,0.595971729,0.298434587,0.07133208,0.003813346,0.091392977,0.226275219,0.227018728,0.043680964,0.212641877,0.473722959,0.570686234,0.306786994,2,0.723594409,0.635506156,0.397395568,0.63673951,0,0.731010348,0.675297938,Safe
1.091217923,0.823911942,0.588090963,1.456837223,0.84213656,0.513464991,0,0.872727273,0.507326266,0.339363515,0.02755396,0.300231897,0.13151743,1.186602334,0.420785093,1.247887165,0,0.733210839,0.025311157,0.07602585,0,0,0.903095033,Safe
